Name,Domain,Status,Notes,vteDisinformation and misinformation,Types,Books and documentaries,Examples,Health,Operations and events by country,Canada,China,Czechoslovakia,Opposition
Goop,goop.com,Active,"Accused in 2020 by Truth in Advertising of violating a court settlement to stop spreading false medical claims about Goop products. Criticized by Simon Stevens, the then-Chief Executive of NHS England, for promoting products and procedures that he described as monetarily wasteful or ""carrying considerable risks to health"".[200] Sells many of the same wellness products as Infowars.",,,,,,,,,,
GreenMedInfo,greenmedinfo.com,Active,"Founded by Sayer Ji, who has been cited by the Center for Countering Digital Hate as one of the ""Disinformation Dozen"" for frequently sharing anti-vaccine misinformation on social media.[178] Removed from Pinterest in 2019, which Snopes concluded was likely due to the site’s promotion of health misinformation. Spread false claims about COVID-19 vaccines. Includes a search engine that McGill University describes as ""biased toward scientific papers that claim natural food and alternative medicine can prevent and heal diseases.""[203] Claims without evidence that marijuana is a cure for cancer.",,,,,,,,,,
Health Holistic Living,healthyholisticliving.com,,"Falsely claimed that ginger is a more effective cancer treatment than chemotherapy, that manuka honey is more effective than antibiotics, and that repeatedly boiling water is harmful. Cites peer-reviewed research to draw conclusions not supported by the works in question, such as citing four studies to claim that magnesium is an effective treatment for ADHD.",,,,,,,,,,
healthy-holistic-living.com,,,,,,,,,,,,,
Health Impact News,healthimpactnews.com,,"Falsely linked deaths to flu vaccines and COVID-19 vaccines, and spread unproven cures for COVID-19.",,,,,,,,,,
Health Nut News,healthnutnews.com,,"Founded by Erin Elizabeth, who was cited by the Center for Countering Digital Hate as one of the ""Disinformation Dozen"" for frequently sharing anti-vaccine misinformation on social media.[178] Removed from Pinterest in 2019, which Snopes concluded was likely due to the site’s promotion of health misinformation. Spread conspiracy theories falsely alleging that the deaths of doctors or alternative health practitioners were connected.",,,,,,,,,,
In5D,in5d.com,,,,,,,,,,,,
The Institute for Creation Research,icr.org,,,,,,,,,,,,
Institute for Responsible Technology,responsibletechnology.org,,Founded by Jeffrey M. Smith.,,,,,,,,,,
Medical Kidnap,medicalkidnap.com,,"Spread false or unproven claims about cases involving Child protective services. Falsely framed COVID-19 vaccines as ""experimental"".[216] Part of the same network as Vaccine Impact and Health Impact News.",,,,,,,,,,
Mercola.com,mercola.com,,"Founded by Joseph Mercola, who was cited by the Center for Countering Digital Hate as one of the ""Disinformation Dozen"" for frequently sharing anti-vaccine misinformation on social media.[178] Removed from Pinterest in 2019, which Snopes concluded was likely due to the site’s promotion of health misinformation.",,,,,,,,,,
Natural Blaze,naturalblaze.com,,,,,,,,,,,,
Principia Scientific International,principia-scientific.com,,Repeatedly published climate change denial and false claims about COVID-19.,,,,,,,,,,
principia-scientific.org,,,,,,,,,,,,,
RealFarmacy,realfarmacy.com,,"Noted by the Wall Street Journal to promote homeopathy. Spread false claims about COVID-19 origins and unproven treatments. Spread anti-vaccine misinformation and has been noted by NewsGuard to have ""promoted ineffective and potentially dangerous cancer treatments.""[233]",,,,,,,,,,
Riposte laique,ripostelaique.com,,Spread false claim that the French government approved euthanasia during the COVID-19 pandemic.,,,,,,,,,,
Science Vibe,sciencevibe.com,,Reposted satirical story from World News Daily Report and framed it as genuine news. Reposted hoax on assassination of Marilyn Monroe.,,,,,,,,,,
Stop Mandatory Vaccination,stopmandatoryvaccination.com,,"The founder has been described by NBC News as ""a man without medical training who has made a name as a leader of the online anti-vaccination movement.""[245]
Censured by the Advertising Standards Authority in 2018 for distributing a Facebook ad targeted towards parents with misleading claims about vaccines.
Accused by the Guardian of ""[using] Facebook’s advertising tools to target their propaganda exclusively at women.""[246]
Publishes ""accounts from parents who claim that a baby's death was the result of a vaccination. Many of those viral articles have been debunked with official, medically supported explanations that include sudden infant death syndrome, pneumonia and accidental asphyxiation.""[176]
Misinformation from the group has resulted in at least one death: a child whose mother was urged by other group members not to give her son Tamiflu after he had a bout of the flu.
Accounts associated with the site and its founder have been suspended from Facebook and Twitter in 2020 for promoting QAnon conspiracy theories. The founder’s YouTube channel was demonetized in 2019 due to ""[promoting] anti-vaccination content"".[247] Ads to the site were also removed by Facebook in 2019 for violating Facebook’s policies on misinformation about vaccines. The founder’s Twitter account was reinstated in 2023.",,,,,,,,,,
Technocracy News,technocracy.news,,Spread misinformation about face masks with respect to COVID-19 as well as COVID-19 vaccinations. Falsely claimed that carbon dioxide is not a greenhouse gas. The site owner edits a health newsletter for Newsmax.,,,,,,,,,,
The Truth About Cancer,thetruthaboutcancer.com,,"According to NewsGuard, ""repeatedly promotes ineffective, unproven, and dangerous treatments for cancer"".[256]",,,,,,,,,,
TruthKings,truthkings.com,,Posted false allegations of fraud in the 2008 US presidential election. Spread false information about vaccines. Reportedly owned by Sherri Tenpenny.,,,,,,,,,,
Vaccine Impact,vaccineimpact.com,,Part of the same network as Medical Kidnap and Health Impact News.,,,,,,,,,,
The Waking Times,wakingtimes.com,,Accused by the Global Disinformation Index of spreading disinformation on COVID-19 public policies.,,,,,,,,,,
Chicks On The Right,chicksonright.com,,"Spread false claim about an upcoming ""mini ice age"".[262]",,,,,,,,,,
chicksontheright.com,,,,,,,,,,,,,
Climate Intelligence Foundation (CLINTEL),clintel.org,,,,,,,,,,,,
NoTricksZone,notrickszone.com,,,,,,,,,,,,
Klimaat Feiten,klimaatfeiten.nl,,,,,,,,,,,,
Climate Gate,climategate.nl,,,,,,,,,,,,
Energy Talking Points,energytalkingpoints.com,,,,,,,,,,,,
Clima et Verité,climatetverite.net,,,,,,,,,,,,
Climato-Réalistes,climato-realistes.fr,,,,,,,,,,,,
Global Warming Scare,globalwarmingscare.wordpress.com,,,,,,,,,,,,
Climate Fraud,klima-schwindel.com,,,,,,,,,,,,
Climate Skeptical,climat-sceptique.over-blog.com,,,,,,,,,,,,
Climate Depot,climatedepot.com,,,,,,,,,,,,
Climate Exit (CLEXIT),clexit.net,,,,,,,,,,,,
Climate Resistance,climate-resistance.org,,,,,,,,,,,,
CO2 Coalition,co2coalition.org,,,,,,,,,,,,
The Daily Sceptic,dailysceptic.org,,Publishes anti-vaccine and climate change denial misinformation.,,,,,,,,,,
The Daily Wire,dailywire.com,,"Published multiple false claims that were debunked by Snopes. Per the Daily Beast, Mike Adams would repeatedly post to the site  ""to attack and mock... students, staff, and faculty"" at University of North Carolina Wilmington.[267] Identified by the Center for Countering Digital Hate as a major distributor of climate change denialism. In 2022, the Global Disinformation Index described the Daily Wire as having a high risk of disinformation due to ""bias"", ""sensational language"" and ""a high degree of sensational visuals"".[268] Alongside Ken Paxton and The Federalist, filed a lawsuit in 2023 against the United States Department of State, partially as a result of this assessment by the GDI, alleging censorship of right-wing media and revenue loss.",,,,,,,,,,
De Groene Rekenkamer,groene-rekenkamer.nl,,,,,,,,,,,,
Destaatvanhet Klimaat,destaatvanhet-klimaat.nl,,,,,,,,,,,,
"Ecologia, Clima, Aquecimento",ecologia-clima-aquecimento.blogspot.com,,,,,,,,,,,,
Climate Curious,shortfall.blog,,,,,,,,,,,,
Climate Etc,judithcurry.com,,,,,,,,,,,,
Environmental Progress,environmentalprogress.org,,,,,,,,,,,,
European Climate Realist Network,ecr.network,,,,,,,,,,,,
Everything Climate,everythingclimate.com,,,,,,,,,,,,
Klimaat Gek,klimaatgek.nl,,,,,,,,,,,,
Klima Realisme,klimarealisme.dk,,,,,,,,,,,,
Klima Realistene,klimarealistene.com,,,,,,,,,,,,
Klimat Sans,klimatsans.com,,,,,,,,,,,,
Klimat Upplysningen,klimatupplysningen.se,,,,,,,,,,,,
Koklimaat,koklimaat.nl,,,,,,,,,,,,
La Question Climatique,laquestionclimatique.org,,,,,,,,,,,,
"Science, Climat et Énergie",science-climat-energie.be,,,,,,,,,,,,
Sky Fall,skyfall.fr,,,,,,,,,,,,
Weather Action,weatheraction.com,,,,,,,,,,,,
A Grande Farsa do Aquecimento Global,agfdag.wordpress.com,,,,,,,,,,,,
12minutos.com,12minutos.com,,Same owner as React 365.,,,,,,,,,,
24aktuelles.com,24aktuelles.com,,Same owner as React 365.,,,,,,,,,,
24hnoticias.com,24hnoticias.com,,Part of the same network as React 365.,,,,,,,,,,
actualite.co,actualite.co,,Same owner as React 365.,,,,,,,,,,
actualites.co,actualites.co,,Part of the same network as React 365.,,,,,,,,,,
actualitesdujour.fr,actualitesdujour.fr,,Part of the same network as React 365.,,,,,,,,,,
theasociatedpress.com,theasociatedpress.com,,Same owner as The Fake News Generator.,,,,,,,,,,
thebreakingnews.co,thebreakingnews.co,,Same owner as React 365.,,,,,,,,,,
BreakingNews247.net,BreakingNews247.net,,"Impostor site, per PolitiFact. Same owner as React 365.",,,,,,,,,,
BreakingNews365.net,BreakingNews365.net,,"Impostor site, per PolitiFact. Same owner as React 365.",,,,,,,,,,
cbs-news.us,cbs-news.us,,Same owner as The Fake News Generator.,,,,,,,,,,
cbsnews.us,cbsnews.us,,Same owner as The Fake News Generator.,,,,,,,,,,
channel22news.com,channel22news.com,,Same owner as Channel 23 News.,,,,,,,,,,
Channel 23 News,Channel23News.com,,Prank website for generating false stories.,,,,,,,,,,
Channel24news.com,Channel24news.com,,"Impostor site, per PolitiFact. Same owner as Channel 23 News.",,,,,,,,,,
channel28news.com,channel28news.com,,Same owner as Channel 23 News.,,,,,,,,,,
channel33news.com,channel33news.com,,Same owner as Channel 23 News.,,,,,,,,,,
channel34news.com,channel34news.com,,Same owner as Channel 23 News.,,,,,,,,,,
channel40news.com,channel40news.com,,Same owner as Channel 23 News.,,,,,,,,,,
channel45news.com,channel45news.com,,Same owner as Channel 23 News.,,,,,,,,,,
channel46news.com,channel46news.com,,Same owner as Channel 23 News.,,,,,,,,,,
channel55news.com,channel55news.com,,Same owner as Channel 23 News.,,,,,,,,,,
channel56news.com,channel56news.com,,Same owner as Channel 23 News.,,,,,,,,,,
channel59news.com,channel59news.com,,Same owner as Channel 23 News.,,,,,,,,,,
channel60news.com,channel60news.com,,Same owner as Channel 23 News.,,,,,,,,,,
channel62news.com,channel62news.com,,Same owner as Channel 23 News.,,,,,,,,,,
channel63news.com,channel63news.com,,Same owner as Channel 23 News.,,,,,,,,,,
channel65news.com,channel65news.com,,Same owner as Channel 23 News.,,,,,,,,,,
channel66news.com,channel66news.com,,Same owner as Channel 23 News.,,,,,,,,,,
channel68news.com,channel68news.com,,Same owner as Channel 23 News.,,,,,,,,,,
channel77news.com,channel77news.com,,Same owner as Channel 23 News.,,,,,,,,,,
Clone Zone,clonezone.link,,Impersonated The New York Times to spread the false story that Elizabeth Warren had endorsed Bernie Sanders in 2016.,,,,,,,,,,
cnoticias.net,cnoticias.net,,Same owner as React 365.,,,,,,,,,,
en-bref.fr,en-bref.fr,,Same owner as React 365.,,,,,,,,,,
fakeawish.com,fakeawish.com,,,,,,,,,,,,
The Fake News Generator,thefakenewsgenerator.com,,,,,,,,,,,,
fakeShare,fakeshare.com,,,,,,,,,,,,
FeedNewz,feednewz.com,,Renamed to prank.link.,,,,,,,,,,
flashinfo.org,flashinfo.org,,Part of the same network as React 365.,,,,,,,,,,
Journific,journific.com,,Often used to spread false claims of businesses about to close.,,,,,,,,,,
nachrichten.de.com,nachrichten.de.com,,Same owner as React 365.,,,,,,,,,,
nachrichten247.de,nachrichten247.de,,Part of the same network as React 365.,,,,,,,,,,
nachrichten365.com,nachrichten365.com,,Same owner as React 365.,,,,,,,,,,
net-infosnews.com,net-infosnews.com,,Same owner as React 365.,,,,,,,,,,
thenewyorktimes.company,thenewyorktimes.company,,Same owner as The Fake News Generator.,,,,,,,,,,
Nipsy’s News,nipsysnews.com,,,,,,,,,,,,
noticias-frescas.com,noticias-frescas.com,,Same owner as React 365.,,,,,,,,,,
noticias365.info,noticias365.info,,,,,,,,,,,,
notizzia.com,notizzia.com,,Same owner as React 365.,,,,,,,,,,
nsfnews.com,nsfnews.com,,Part of the same network as React 365.,,,,,,,,,,
prank.link,prank.link,,,,,,,,,,,,
prankyourfriends.com,prankyourfriends.com,,Part of the same network as React 365.,,,,,,,,,,
PunkShare,PunkShare.com,,,,,,,,,,,,
react2424.com,react2424.com,,Part of the same network as React 365.,,,,,,,,,,
React 365,React365.com,,"This user-created fake news generator, supposedly for ""pranking your friends"", had at least two stories that went viral.",,,,,,,,,,
routers.news,routers.news,,Same owner as PunkShare. Spoof of Reuters.,,,,,,,,,,
SHRTURL,shrturl.co,,,,,,,,,,,,
toutelinfo.fr,toutelinfo.fr,,Same owner as React 365.,,,,,,,,,,
trend-news.com,trend-news.com,,Part of the same network as React 365.,,,,,,,,,,
yam.fr,yam.fr,,Part of the same network as React 365.,,,,,,,,,,
youreact247.com,youreact247.com,,Part of the same network as React 365.,,,,,,,,,,
Action News 3,actionnews3.com,,Spread death hoaxes about various public figures.,,,,,,,,,,
Breaking13News.com,Breaking13News.com,,,,,,,,,,,,
Daily Buzz Live,DailyBuzzLive.com,,"Per PolitiFact.
Republished a hoax about worldwide blackout, a false claim that had been spreading since 2012.
Hosted on the same webserver as Action News 3.",,,,,,,,,,
dailyviralbuzz.com,dailyviralbuzz.com,,,,,,,,,,,,
News4KTLA.com,News4KTLA.com,,"Impostor site, per PolitiFact.
Has the same IP address as Action News 3.
Repurposed an Associated Press article with a false headline.
Cited story from World News Daily Report.",,,,,,,,,,
News4Local.com,News4Local.com,,,,,,,,,,,,
Now 8 News,Now8News.com,,"Started in 2015, this fake news website is also designed to look like a local television outlet. Several of the website's fake stories have successfully spread on social media. Has the same IP address as Action News 3.",,,,,,,,,,
TheRacketReport.com,TheRacketReport.com,,"Per PolitiFact.
Has the same IP address as Action News 3.
Repurposed an Associated Press article with a false headline.",,,,,,,,,,
realstonedtimes.com,realstonedtimes.com,,,,,,,,,,,,
Straight Stoned,straightstoned.com,,Hosted on the same webserver as Action News 3.,,,,,,,,,,
abc14news.com,abc14news.com,,Spoof of ABC News.,,,,,,,,,,
abcnews-us.com,abcnews-us.com,,Spoof of ABC News.,,,,,,,,,,
abcnews5.com,abcnews5.com,,Spoof of ABC News.,,,,,,,,,,
AlabamaObserver.com,AlabamaObserver.com,,,,,,,,,,,,
albertatimes.com,albertatimes.com,,,,,,,,,,,,
Batty Post,battypost.com,,"Published a false claim about being acquired by East Asia Tribune, a page that has the same Google AdSense ID.",,,,,,,,,,
Border Herald,borderherald.com,,,,,,,,,,,,
Boston Leader,bostonleader.com,,"Possibly part of same network as Associated Media Coverage, another fake news site.",,,,,,,,,,
boston-post.com,boston-post.com,,"Not to be confused with the Boston Post.
Part of the same network as abcnews-us.com.",,,,,,,,,,
cairnstimes.com,cairnstimes.com,,,,,,,,,,,,
cbs15.com,cbs15.com,,Spoof of CBS News. Possibly part of same network as abc14news.com.,,,,,,,,,,
cbsnews10.com,cbsnews10.com,,Spoof of CBS News. Part of same network as abc14news.com.,,,,,,,,,,
cbsnews15.com,cbsnews15.com,,Spoof of CBS News.,,,,,,,,,,
cbsnews24.com,cbsnews24.com,,Spoof of CBS News.,,,,,,,,,,
cgcnews.com,cgcnews.com,,Part of the same network as nbc9news.com.,,,,,,,,,,
cnn-globalnews.com,cnn-globalnews.com,,Impostor site of CNN. Published death hoax on Clint Eastwood.,,,,,,,,,,
cnn-internationaledition.com,cnn-internationaledition.com,,Impostor site of CNN.,,,,,,,,,,
coindesk-us.com,coindesk-us.com,,Spoof of CoinDesk.,,,,,,,,,,
countyweekly.com,countyweekly.com,,,,,,,,,,,,
dallastimes.us,dallastimes.us,,,,,,,,,,,,
DenverInquirer.com,DenverInquirer.com,,,,,,,,,,,,
dublintribune.com,dublintribune.com,,,,,,,,,,,,
East Asia Tribune,eastasiatribune.com,,Published death hoax about Kim Jong-un.,,,,,,,,,,
Florida Sun Post,floridasunpost.com,,"Possibly part of same network as Associated Media Coverage, another fake news site.",,,,,,,,,,
focustimes.org,focustimes.org,,,,,,,,,,,,
foreignjournal.com,foreignjournal.com,,,,,,,,,,,,
fox-26houston.com,fox-26houston.com,,,,,,,,,,,,
fox-32chicago.com,fox-32chicago.com,,,,,,,,,,,,
foxnews-us.com,foxnews-us.com,,Part of the same network as abcnews-us.com.,,,,,,,,,,
foxnews15.com,foxnews15.com,,,,,,,,,,,,
freeinquirer.com,freeinquirer.com,,,,,,,,,,,,
The Jackson Telegraph,jacksontelegraph.com,,,,,,,,,,,,
longarticles.com,longarticles.com,,,,,,,,,,,,
MississippiHerald.com,MississippiHerald.com,,,,,,,,,,,,
nbc9news.com,nbc9news.com,,Spoof of NBC. Part of same network as abc14news.com.,,,,,,,,,,
nbcnews11.com,nbcnews11.com,,,,,,,,,,,,
nbcnews15.com,nbcnews15.com,,,,,,,,,,,,
nbcnews6.com,nbcnews6.com,,,,,,,,,,,,
newjournal.us,newjournal.us,,,,,,,,,,,,
thenyherald.com,thenyherald.com,,Part of the same network as nbc9news.com.,,,,,,,,,,
pressunion.org,pressunion.org,,,,,,,,,,,,
si-nba.com,si-nba.com,,,,,,,,,,,,
sundayregister.com,sundayregister.com,,,,,,,,,,,,
The Sunday Inquirer,sundayinquirer.com,,,,,,,,,,,,
The Sunday Post,sundaypost.org,,,,,,,,,,,,
surreytelegraph.com,surreytelegraph.com,,,,,,,,,,,,
sydneybulletin.com,sydneybulletin.com,,,,,,,,,,,,
Telegraph Sun,telegraphsun.com,,,,,,,,,,,,
timesofcambodia.com,timesofcambodia.com,,,,,,,,,,,,
tmz-us.com,tmz-us.com,,Spoof of TMZ. Part of the same network as nbc9news.com.,,,,,,,,,,
tvtnews.com,tvtnews.com,,Part of the same network as nbc9news.com.,,,,,,,,,,
unitednews.org,unitednews.org,,,,,,,,,,,,
us-nbcnews.com,us-nbcnews.com,,Spoof of NBC News. Part of the same network as nbc9news.com.,,,,,,,,,,
usatoday-go.com,usatoday-go.com,,Has the same IP address as cbsnews10.com.,,,,,,,,,,
Vancouver Inquirer,vancouverinquirer.com,,,,,,,,,,,,
vice-en-us.com,vice-en-us.com,,Part of the same network as abcnews-us.com.,,,,,,,,,,
weekendherald.com,weekendherald.com,,,,,,,,,,,,
yahoonews-us.com,yahoonews-us.com,,Part of the same network as abcnews-us.com.,,,,,,,,,,
20minutenews.com,20minutenews.com,,,,,,,,,,,,
alertchild.com,alertchild.com,,,,,,,,,,,,
areyousleep.com,areyousleep.com,,,,,,,,,,,,
badcriminals.com,badcriminals.com,,,,,,,,,,,,
cartelreport.com,cartelreport.com,,,,,,,,,,,,
Celebtricity,celebtricity.com,,"Has falsely claimed that Barack Obama declared a state of emergency in Chicago, Illinois after more than 300 people were shot in one night; that a Wendy's employee put vaginal discharge on a burger as revenge against a partner; and that Bryshere Y. Gray was Jay-Z's son. Contains a ""notorious fauxtire and satire entertainment"" disclaimer which used to read ""the most notorious urban satirical entertainment website in the world"".[328]",,,,,,,,,,
channel5000.com,channel5000.com,,,,,,,,,,,,
drugsofficial.com,drugsofficial.com,,,,,,,,,,,,
everydaybreakingnews.com,everydaybreakingnews.com,,,,,,,,,,,,
FedsAlert.com,FedsAlert.com,,,,,,,,,,,,
folksvideo.com,folksvideo.com,,,,,,,,,,,,
thefrt.com,thefrt.com,,,,,,,,,,,,
jokerviral.com,jokerviral.com,,,,,,,,,,,,
mrnewswatch.com,mrnewswatch.com,,,,,,,,,,,,
Persecutes.com,Persecutes.com,,,,,,,,,,,,
qualitysharing.com,qualitysharing.com,,,,,,,,,,,,
scaryhours.com,scaryhours.com,,,,,,,,,,,,
smhwtfnews.com,smhwtfnews.com,,,,,,,,,,,,
tmzbreaking.com,tmzbreaking.com,,,,,,,,,,,,
tmzbusiness.com,tmzbusiness.com,,,,,,,,,,,,
tmzcomedy.com,tmzcomedy.com,,,,,,,,,,,,
tmzhiphop.com,tmzhiphop.com,,,,,,,,,,,,
tmzurban.com,tmzurban.com,,,,,,,,,,,,
tmzuncut.com,tmzuncut.com,,,,,,,,,,,,
TMZWorldNews.com,TMZWorldNews.com,,,,,,,,,,,,
tmzworldstar.com,tmzworldstar.com,,,,,,,,,,,,
tmzworldstarnews.com,tmzworldstarnews.com,,,,,,,,,,,,
ViralActions.com,ViralActions.com,,Cited story from World News Daily Report.,,,,,,,,,,
viralcocaine.com,viralcocaine.com,,,,,,,,,,,,
viraldevil.com,viraldevil.com,,,,,,,,,,,,
viralmugshot.com,viralmugshot.com,,,,,,,,,,,,
viralpropaganda.com,viralpropaganda.com,,,,,,,,,,,,
viralspeech.com,viralspeech.com,,,,,,,,,,,,
viralstuppid.com,viralstuppid.com,,,,,,,,,,,,
PoliticsFocus,anypolitical.com,,,,,,,,,,,,
PoliticsFocus,cloudpolitical.com,,,,,,,,,,,,
PoliticsFocus,goldpolitics.com,,,,,,,,,,,,
PoliticsFocus,flexpolitics.com,,,,,,,,,,,,
PoliticsFocus,jetpolitics.com,,,,,,,,,,,,
PoliticsFocus,maxrepublican.com,,,,,,,,,,,,
PoliticsFocus,politicsbee.com,,,,,,,,,,,,
PoliticsFocus,politicsedge.com,,,,,,,,,,,,
PoliticsFocus,politicsfast.com,,,,,,,,,,,,
PoliticsFocus,Politicsfocus.com,,Per FactCheck.org.,,,,,,,,,,
PoliticsFocus,politicsmate.com,,,,,,,,,,,,
PoliticsFocus,politicstec.com,,,,,,,,,,,,
PoliticsFocus,politicsvision.com,,,,,,,,,,,,
PoliticsFocus,sunrepublican.com,,,,,,,,,,,,
PoliticsFocus,totalpolitical.com,,,,,,,,,,,,
